word,pos,ja,ipa,ngsl_rank,nd,fl,l1_weighted_nd,hvpt,unit
apartment,noun,アパート・マンション,/əˈpɑːrtmənt/,1450,10,0.55,0.30,0,4
apartments,noun,アパート（複数形）,/əˈpɑːrtmənts/,1460,9,0.50,0.28,0,4
neighborhood,noun,近所・地域,/ˈneɪbərhʊd/,1980,6,0.32,0.24,0,4
kitchen,noun,台所・キッチン,/ˈkɪtʃɪn/,1620,9,0.48,0.22,0,4
supermarket,noun,スーパーマーケット,/ˈsuːpərˌmɑːrkɪt/,1710,7,0.40,0.20,0,4
choice,noun,選択,/tʃɔɪs/,1340,11,0.58,0.26,0,4
distance,noun,距離,/ˈdɪstəns/,1580,8,0.42,0.24,0,4
price,noun,値段,/praɪs/,1090,14,0.63,0.34,0,4
view,noun,眺め・景色,/vjuː/,1240,10,0.52,0.38,1,4
yen,noun,円（通貨）,/jɛn/,2650,3,0.20,0.15,0,4
expensive,adjective,高価な,/ɪkˈspɛnsɪv/,1460,9,0.47,0.28,0,4
cheap,adjective,安い,/tʃiːp/,1620,8,0.44,0.26,0,4
quiet,adjective,静かな,/ˈkwaɪət/,1370,10,0.55,0.30,0,4
noisy,adjective,うるさい,/ˈnɔɪzi/,1980,6,0.34,0.22,0,4
convenient,adjective,便利な,/kənˈviːniənt/,1830,7,0.38,0.32,1,4
comfortable,adjective,快適な,/ˈkʌmfərtəbəl/,1690,8,0.41,0.28,0,4
crowded,adjective,混雑した,/ˈkraʊdɪd/,2140,5,0.28,0.24,0,4
safe,adjective,安全な,/seɪf/,1150,12,0.60,0.25,0,4
dangerous,adjective,危険な,/ˈdeɪndʒərəs/,1780,7,0.39,0.26,0,4
popular,adjective,人気のある,/ˈpɒpjʊlər/,1290,11,0.56,0.24,0,4
modern,adjective,現代的な,/ˈmɒdərn/,1540,9,0.46,0.22,0,4
delicious,adjective,美味しい,/dɪˈlɪʃəs/,1870,6,0.33,0.24,0,4
friendly,adjective,親しみやすい,/ˈfrɛndli/,1420,10,0.50,0.30,1,4
polite,adjective,礼儀正しい,/pəˈlaɪt/,2020,6,0.31,0.24,0,4
famous,adjective,有名な,/ˈfeɪməs/,1330,11,0.57,0.22,0,4
similar,adjective,似ている,/ˈsɪmɪlər/,1470,9,0.48,0.26,1,4
cheaper,adjective,もっと安い（比較級）,/ˈtʃiːpər/,2200,5,0.25,0.20,0,4
smaller,adjective,もっと小さい（比較級）,/ˈsmɔːlər/,2260,5,0.24,0.20,0,4
quieter,adjective,もっと静かな（比較級）,/ˈkwaɪətər/,2310,4,0.22,0.20,0,4
noisier,adjective,もっとうるさい（比較級）,/ˈnɔɪziər/,2480,4,0.20,0.18,0,4
newer,adjective,もっと新しい（比較級）,/ˈnuːər/,2390,4,0.21,0.18,0,4
closer,adjective,もっと近い（比較級）,/ˈkloʊsər/,2270,5,0.24,0.22,0,4
safer,adjective,もっと安全な（比較級）,/ˈseɪfər/,2330,4,0.22,0.20,0,4
bigger,adjective,もっと大きい（比較級）,/ˈbɪɡər/,2160,5,0.26,0.20,0,4
as,conjunction,〜と同じくらい,/æz/,900,15,0.70,0.20,0,4
more,adverb,もっと・より多く,/mɔːr/,650,18,0.80,0.25,0,4
most,adverb,最も,/moʊst/,680,17,0.78,0.20,0,4
better,adjective/adverb,もっと良い,/ˈbɛtər/,620,19,0.82,0.22,0,4
best,adjective/adverb,最も良い,/bɛst/,640,18,0.80,0.20,0,4
far,adverb/adjective,遠い・遠くに,/fɑːr/,780,16,0.74,0.28,1,4
near,adverb/preposition,近い・近くに,/nɪr/,760,16,0.75,0.30,1,4
decide,verb,決める,/dɪˈsaɪd/,1080,13,0.62,0.24,0,4
visit,verb,訪れる,/ˈvɪzɪt/,990,15,0.68,0.36,1,4
compare,verb,比べる・比較する,/kəmˈpɛr/,1520,9,0.45,0.28,1,4
clean,adjective,清潔な・きれいな,/kliːn/,1010,14,0.66,0.24,1,4
