word,pos,ja,ipa,ngsl_rank,nd,fl,l1_weighted_nd,hvpt,unit
weekend,noun,週末,/ˈwiːkɛnd/,1050,12,0.70,0.30,0,2
meeting,noun,会議,/ˈmiːtɪŋ/,700,15,0.78,0.26,0,2
boss,noun,上司,/bɔːs/,1500,10,0.55,0.24,0,2
colleague,noun,同僚,/ˈkɒliːɡ/,2400,5,0.28,0.22,0,2
project,noun,プロジェクト,/ˈprɒdʒɛkt/,1100,14,0.66,0.26,0,2
deadline,noun,締め切り,/ˈdɛdlaɪn/,2650,4,0.22,0.20,0,2
until,preposition,〜まで,/ənˈtɪl/,590,18,0.80,0.24,0,2
cleaned,verb,掃除した,/kliːnd/,1850,9,0.45,0.26,0,2
laundry,noun,洗濯（物）,/ˈlɔːndri/,2550,4,0.20,0.34,1,2
dishes,noun,食器,/ˈdɪʃɪz/,1950,8,0.42,0.24,0,2
shopping,noun,買い物,/ˈʃɒpɪŋ/,1400,11,0.60,0.24,0,2
groceries,noun,食料品,/ˈɡroʊsəriz/,2300,5,0.26,0.26,1,2
dinner,noun,夕食,/ˈdɪnər/,980,16,0.74,0.26,0,2
appointment,noun,予約・約束,/əˈpɔɪntmənt/,2100,6,0.30,0.24,0,2
doctor,noun,医者,/ˈdɒktər/,980,13,0.68,0.24,0,2
visited,verb,訪れた,/ˈvɪzɪtɪd/,1150,10,0.56,0.30,1,2
grandmother,noun,祖母,/ˈɡrænˌmʌðər/,1850,6,0.28,0.34,1,2
brought,verb,持ってきた,/brɔːt/,1300,9,0.50,0.32,1,2
cousin,noun,いとこ,/ˈkʌzən/,1950,7,0.34,0.26,0,2
neighbor,noun,隣人,/ˈneɪbər/,1650,9,0.44,0.30,1,2
coffee,noun,コーヒー,/ˈkɒfi/,1250,12,0.62,0.30,1,2
tennis,noun,テニス,/ˈtɛnɪs/,2050,6,0.32,0.22,0,2
soccer,noun,サッカー,/ˈsɒkər/,2150,6,0.30,0.20,0,2
jogged,verb,ジョギングした,/dʒɒɡd/,2700,3,0.18,0.20,0,2
relaxed,verb,くつろいだ,/rɪˈlækst/,1750,8,0.40,0.28,0,2
relaxing,adjective,くつろげる,/rɪˈlæksɪŋ/,1900,7,0.36,0.32,1,2
movie,noun,映画,/ˈmuːvi/,1180,9,0.62,0.28,0,2
reviewed,verb,復習した,/rɪˈvjuːd/,1700,7,0.38,0.32,1,2
test,noun,テスト,/tɛst/,900,15,0.72,0.22,0,2
homework,noun,宿題,/ˈhoʊmwɜːrk/,1550,8,0.44,0.24,0,2
trip,noun,旅行,/trɪp/,1050,13,0.64,0.32,1,2
vacation,noun,休暇,/veɪˈkeɪʃən/,1600,7,0.38,0.34,1,2
exciting,adjective,わくわくする,/ɪkˈsaɪtɪŋ/,1450,10,0.54,0.24,0,2
boring,adjective,退屈な,/ˈbɔːrɪŋ/,1650,9,0.46,0.26,0,2
exhausted,adjective,疲れ果てた,/ɪɡˈzɔːstɪd/,2200,5,0.24,0.24,0,2
chores,noun,家事,/tʃɔːrz/,2500,4,0.20,0.22,0,2
errand,noun,用事,/ˈɛrənd/,2750,3,0.16,0.20,0,2
haircut,noun,散髪,/ˈhɛərkʌt/,2600,4,0.18,0.18,0,2
package,noun,荷物・小包,/ˈpækɪdʒ/,1700,8,0.42,0.22,0,2
mail,noun,郵便,/meɪl/,1150,11,0.58,0.20,0,2
recipe,noun,レシピ,/ˈrɛsəpi/,2250,5,0.24,0.20,0,2
catch up,phrasal verb,近況を報告し合う,/kætʃ ʌp/,2350,4,0.20,0.24,0,2
get together,phrasal verb,集まる,/ɡɛt təˈɡɛðər/,2450,4,0.18,0.26,0,2
all day,expression,一日中,/ɔːl deɪ/,1800,6,0.30,0.18,0,2
all week,expression,一週間中,/ɔːl wiːk/,1900,5,0.26,0.18,0,2
