word,pos,ja,ipa,ngsl_rank,nd,fl,l1_weighted_nd,hvpt,unit
trip,noun,旅行,/trɪp/,1050,14,0.66,0.34,0,18
weekend,noun,週末,/ˈwiːkɛnd/,1042,12,0.71,0.30,0,18
platform,noun,ホーム（駅の）,/ˈplætfɔːrm/,1450,9,0.52,0.38,1,18
ticket,noun,切符,/ˈtɪkɪt/,1180,13,0.64,0.26,0,18
stranger,noun,見知らぬ人,/ˈstreɪndʒər/,1620,8,0.42,0.40,1,18
crowd,noun,人混み,/kraʊd/,1580,9,0.44,0.36,1,18
announcement,noun,アナウンス,/əˈnaʊnsmənt/,1890,6,0.34,0.28,0,18
mistake,noun,間違い,/mɪˈsteɪk/,1050,15,0.70,0.28,0,18
memory,noun,記憶・思い出,/ˈmɛməri/,1240,12,0.60,0.34,0,18
moment,noun,瞬間,/ˈmoʊmənt/,900,18,0.78,0.22,0,18
adventure,noun,冒険,/ədˈvɛntʃər/,1780,7,0.38,0.32,0,18
situation,noun,状況,/ˌsɪtʃuˈeɪʃən/,1150,11,0.58,0.24,0,18
happened,verb,起こった,/ˈhæpənd/,620,20,0.84,0.20,0,18
noticed,verb,気づいた,/ˈnoʊtɪst/,1280,11,0.56,0.26,0,18
realized,verb,気づいた・悟った,/ˈriːəlaɪzd/,1350,10,0.54,0.38,1,18
decided,verb,決めた,/dɪˈsaɪdɪd/,830,17,0.76,0.24,0,18
mentioned,verb,言及した,/ˈmɛnʃənd/,1690,8,0.40,0.26,0,18
missed,verb,乗り遅れた・逃した,/mɪst/,1150,12,0.58,0.24,0,18
caught,verb,間に合った・捕まえた,/kɔːt/,1220,11,0.55,0.22,0,18
hurried,verb,急いだ,/ˈhɜːrid/,2050,6,0.32,0.36,0,18
rushed,verb,急いだ・慌てた,/rʌʃt/,1950,6,0.33,0.34,0,18
apologized,verb,謝った,/əˈpɒlədʒaɪzd/,1830,7,0.36,0.32,0,18
replied,verb,返事をした,/rɪˈplaɪd/,1420,10,0.52,0.42,1,18
promised,verb,約束した,/ˈprɒmɪst/,1380,10,0.53,0.30,0,18
warned,verb,警告した,/wɔːrnd/,1870,6,0.34,0.28,0,18
complained,verb,文句を言った,/kəmˈpleɪnd/,1990,6,0.31,0.30,0,18
panicked,verb,パニックになった,/ˈpænɪkt/,2200,5,0.28,0.24,0,18
walking,verb,歩いている（最中）,/ˈwɔːkɪŋ/,830,19,0.80,0.24,0,18
sitting,verb,座っている（最中）,/ˈsɪtɪŋ/,900,18,0.79,0.22,0,18
talking,verb,話している（最中）,/ˈtɔːkɪŋ/,780,19,0.81,0.20,0,18
nervous,adjective,緊張した,/ˈnɜːrvəs/,1310,11,0.57,0.44,1,18
embarrassed,adjective,恥ずかしい,/ɪmˈbærəst/,1760,8,0.40,0.42,1,18
confused,adjective,混乱した,/kənˈfjuːzd/,1540,9,0.46,0.30,0,18
relieved,adjective,ほっとした,/rɪˈliːvd/,2020,6,0.32,0.46,1,18
surprised,adjective,驚いた,/sərˈpraɪzd/,970,17,0.75,0.40,1,18
shocked,adjective,ショックを受けた,/ʃɒkt/,1460,10,0.51,0.28,0,18
terrified,adjective,とても怖がった,/ˈtɛrɪfaɪd/,2380,5,0.24,0.30,0,18
amazing,adjective,すごい,/əˈmeɪzɪŋ/,1090,13,0.62,0.24,0,18
meanwhile,adverb,その間に,/ˈmiːnwaɪl/,1670,8,0.40,0.34,0,18
afterward,adverb,その後で,/ˈæftərwərd/,2280,5,0.26,0.24,0,18
immediately,adverb,すぐに,/ɪˈmiːdiətli/,990,15,0.70,0.22,0,18
gradually,adverb,徐々に,/ˈɡrædʒuəli/,1810,7,0.37,0.28,0,18
luckily,adverb,幸運にも,/ˈlʌkɪli/,1590,9,0.45,0.36,1,18
unfortunately,adverb,残念ながら,/ʌnˈfɔːrtʃənətli/,1140,12,0.59,0.26,0,18
apparently,adverb,どうやら,/əˈpærəntli/,1720,8,0.39,0.28,0,18
turned out,phrasal verb,結局〜だった,/tɜːrnd aʊt/,2100,6,0.30,0.24,0,18
got lost,expression,道に迷った,/ɡɒt lɔːst/,2340,5,0.25,0.28,0,18
ran into,phrasal verb,偶然出会った,/ræn ˈɪntuː/,2500,4,0.22,0.26,0,18
ended up,phrasal verb,結局〜することになった,/ˈɛndɪd ʌp/,2600,4,0.20,0.24,0,18
unexpectedly,adverb,予想外に,/ˌʌnɪkˈspɛktɪdli/,2460,4,0.20,0.20,0,18
