word,pos,ja,ipa,ngsl_rank,nd,fl,l1_weighted_nd,hvpt,unit
plan,noun/verb,計画・目標,/plæn/,680,15,0.68,0.30,0,16
future,noun,将来,/ˈfjuːtʃər/,750,14,0.64,0.28,0,16
become,verb,〜になる,/bɪˈkʌm/,610,17,0.74,0.26,0,16
nurse,noun,看護師,/nɜːrs/,1500,8,0.38,0.24,0,16
enjoy,verb,楽しむ,/ɪnˈdʒɔɪ/,920,12,0.55,0.28,0,16
helping,verb (-ing form),助けること（help の -ing 形）,/ˈhɛlpɪŋ/,1900,5,0.24,0.20,0,16
hope,verb/noun,望む・希望,/hoʊp/,660,16,0.70,0.26,0,16
university,noun,大学,/ˌjuːnɪˈvɜːrsɪti/,1340,9,0.42,0.22,0,16
decided,verb (past tense),決めた（decide の過去形）,/dɪˈsaɪdɪd/,830,13,0.52,0.24,0,16
apply,verb,応募する・出願する,/əˈplaɪ/,950,11,0.48,0.22,0,16
goal,noun,目標,/goʊl/,720,14,0.62,0.26,0,16
dream,noun/verb,夢・夢見る,/driːm/,1470,8,0.36,0.24,0,16
starting,verb (-ing form),始めること（start の -ing 形）,/ˈstɑːrtɪŋ/,1950,4,0.22,0.18,0,16
own,adjective,自分自身の,/oʊn/,640,16,0.71,0.22,0,16
business,noun,ビジネス・事業,/ˈbɪznɪs/,1020,10,0.46,0.22,0,16
someday,adverb,いつか,/ˈsʌmdeɪ/,1850,5,0.24,0.18,0,16
cooking,verb (-ing form),料理すること（cook の -ing 形）,/ˈkʊkɪŋ/,2000,4,0.20,0.18,0,16
exciting,adjective,わくわくする,/ɪkˈsaɪtɪŋ/,1880,5,0.25,0.20,0,16
travel,verb,旅行する,/ˈtrævəl/,980,11,0.50,0.42,1,16
traveling,verb (-ing form),旅行すること,/ˈtrævəlɪŋ/,2150,3,0.16,0.40,1,16
meeting,verb (-ing form),会うこと（meet の -ing 形）,/ˈmiːtɪŋ/,1180,9,0.44,0.20,0,16
trying,verb (-ing form),試すこと（try の -ing 形）,/ˈtraɪɪŋ/,2050,4,0.19,0.18,0,16
avoid,verb,避ける,/əˈvɔɪd/,1060,10,0.45,0.38,1,16
spending,verb (-ing form),使うこと（spend の -ing 形）,/ˈspɛndɪŋ/,2100,3,0.17,0.20,0,16
achieve,verb,達成する,/əˈtʃiːv/,1100,9,0.43,0.40,1,16
reach,verb,到達する・達成する,/riːtʃ/,1120,9,0.44,0.36,1,16
promise,verb/noun,約束する・約束,/ˈprɒmɪs/,900,12,0.53,0.24,0,16
exam,noun,試験,/ɪɡˈzæm/,1450,7,0.35,0.22,0,16
luck,noun,運,/lʌk/,1800,6,0.28,0.20,0,16
decide,verb,決める,/dɪˈsaɪd/,820,13,0.54,0.24,0,16
keep,verb,〜し続ける,/kiːp/,780,15,0.62,0.24,0,16
expect,verb,期待する・予期する,/ɪkˈspɛkt/,1150,8,0.41,0.24,0,16
consider,verb,検討する・考える,/kənˈsɪdər/,1200,8,0.40,0.24,0,16
quit,verb,やめる,/kwɪt/,1540,6,0.30,0.22,0,16
imagine,verb,想像する,/ɪˈmædʒɪn/,1580,6,0.29,0.22,0,16
afford,verb,（金銭的・時間的に）余裕がある,/əˈfɔːrd/,1620,5,0.27,0.38,1,16
manage,verb,何とかやり遂げる,/ˈmænɪdʒ/,1230,8,0.39,0.22,0,16
volunteer,noun/verb,ボランティア（をする）,/ˌvɒlənˈtɪr/,1740,5,0.26,0.44,1,16
graduate,verb,卒業する,/ˈɡrædʒueɪt/,1660,5,0.28,0.42,1,16
degree,noun,学位,/dɪˈɡriː/,1700,5,0.27,0.24,0,16
career,noun,キャリア・職業,/kəˈrɪr/,1300,7,0.38,0.40,1,16
skill,noun,スキル・技能,/skɪl/,1380,7,0.37,0.26,0,16
confident,adjective,自信のある,/ˈkɒnfɪdənt/,1420,7,0.36,0.42,1,16
improve,verb,上達する・改善する,/ɪmˈpruːv/,1260,8,0.39,0.24,0,16
abroad,adverb,海外へ・海外で,/əˈbrɔːd/,1780,5,0.25,0.22,0,16
