word,pos,ja,ipa,ngsl_rank,nd,fl,l1_weighted_nd,hvpt,unit
menu,noun,メニュー,/ˈmɛnjuː/,1450,10,0.55,0.20,0,7
order,noun/verb,注文（する）,/ˈɔːrdər/,680,19,0.82,0.30,0,7
waiter,noun,ウェイター（男性）,/ˈweɪtər/,1980,7,0.38,0.28,0,7
waitress,noun,ウェイトレス（女性）,/ˈweɪtrəs/,2350,5,0.28,0.26,1,7
customer,noun,客,/ˈkʌstəmər/,1200,13,0.60,0.24,0,7
reservation,noun,予約,/ˌrɛzərˈveɪʃən/,2100,6,0.34,0.30,1,7
reserve,verb,予約する,/rɪˈzɜːrv/,2280,5,0.30,0.32,1,7
bill,noun,会計・伝票,/bɪl/,1550,9,0.50,0.22,0,7
receipt,noun,レシート,/rɪˈsiːt/,2420,4,0.24,0.20,0,7
tip,noun/verb,チップ,/tɪp/,1700,8,0.44,0.24,0,7
dish,noun,料理・皿,/dɪʃ/,1380,11,0.58,0.26,0,7
meal,noun,食事,/miːl/,1150,12,0.62,0.24,0,7
starter,noun,前菜,/ˈstɑːrtər/,2500,4,0.22,0.24,1,7
main course,noun,メインディッシュ,/meɪn kɔːrs/,2050,6,0.32,0.22,0,7
dessert,noun,デザート,/dɪˈzɜːrt/,1850,7,0.40,0.24,0,7
soup,noun,スープ,/suːp/,1500,10,0.52,0.20,0,7
salad,noun,サラダ,/ˈsæləd/,1620,9,0.48,0.22,0,7
sandwich,noun,サンドイッチ,/ˈsænwɪtʃ/,1780,8,0.42,0.28,0,7
burger,noun,バーガー,/ˈbɜːrɡər/,2200,6,0.30,0.30,0,7
pizza,noun,ピザ,/ˈpiːtsə/,1650,9,0.46,0.18,0,7
pasta,noun,パスタ,/ˈpɑːstə/,1900,7,0.38,0.20,0,7
steak,noun,ステーキ,/steɪk/,2000,6,0.34,0.26,0,7
chicken,noun,チキン,/ˈtʃɪkɪn/,1250,13,0.60,0.24,0,7
rice,noun,ご飯・米,/raɪs/,1180,12,0.62,0.30,1,7
bread,noun,パン,/brɛd/,1320,11,0.56,0.34,1,7
coffee,noun,コーヒー,/ˈkɒfi/,920,16,0.72,0.22,0,7
tea,noun,紅茶・お茶,/tiː/,1050,14,0.68,0.20,0,7
juice,noun,ジュース,/dʒuːs/,1720,8,0.44,0.18,0,7
sugar,noun,砂糖,/ˈʃʊɡər/,1600,9,0.46,0.28,0,7
spicy,adjective,辛い,/ˈspaɪsi/,2150,6,0.32,0.26,0,7
sweet,adjective,甘い,/swiːt/,1400,11,0.56,0.24,0,7
delicious,adjective,とてもおいしい,/dɪˈlɪʃəs/,1520,10,0.54,0.24,0,7
fresh,adjective,新鮮な,/frɛʃ/,1080,15,0.68,0.32,1,7
plate,noun,皿,/pleɪt/,1470,10,0.54,0.24,0,7
fork,noun,フォーク,/fɔːrk/,2280,5,0.28,0.34,1,7
knife,noun,ナイフ,/naɪf/,2150,6,0.30,0.26,0,7
spoon,noun,スプーン,/spuːn/,2320,5,0.26,0.28,0,7
size,noun,サイズ,/saɪz/,890,17,0.74,0.22,0,7
medium,adjective,中くらいの,/ˈmiːdiəm/,1580,9,0.46,0.20,0,7
extra,adjective,追加の,/ˈɛkstrə/,1090,15,0.66,0.24,0,7
allergic,adjective,アレルギーがある,/əˈlɜːrdʒɪk/,2600,3,0.16,0.30,1,7
vegetarian,noun/adjective,ベジタリアン（の）,/ˌvɛdʒəˈtɛəriən/,2700,3,0.15,0.24,1,7
recommend,verb,おすすめする,/ˌrɛkəˈmɛnd/,1780,8,0.42,0.28,1,7
special,noun/adjective,本日のおすすめ・特別な,/ˈspɛʃəl/,760,18,0.78,0.22,0,7
sold out,expression,売り切れ,/soʊld aʊt/,2450,4,0.20,0.20,0,7
ready,adjective,準備ができた,/ˈrɛdi/,830,17,0.76,0.24,0,7
serve,verb,（料理を）出す,/sɜːrv/,1350,11,0.58,0.30,0,7
to go,expression,持ち帰りで,/tuː ɡoʊ/,2380,4,0.22,0.18,0,7
actually,adverb,実は,/ˈæktʃuəli/,1040,14,0.68,0.32,0,7
more,determiner/adverb,もっと（多くの）,/mɔːr/,610,20,0.85,0.26,0,7
cheese,noun,チーズ,/tʃiːz/,1470,10,0.54,0.22,0,7
of course,expression,もちろん,/əv kɔːrs/,940,16,0.70,0.20,0,7
sure,adjective,確かな・もちろん,/ʃʊr/,860,15,0.74,0.24,1,7
