word,pos,ja,ipa,ngsl_rank,nd,fl,l1_weighted_nd,hvpt,unit
street,noun,通り,/striːt/,900,10,0.55,0.30,1,6
corner,noun,角,/ˈkɔːrnər/,1250,9,0.50,0.26,0,6
block,noun,区画・ブロック,/blɒk/,1400,11,0.48,0.24,0,6
intersection,noun,交差点,/ˌɪntərˈsekʃən/,2450,4,0.22,0.26,0,6
traffic light,noun,信号機,/ˈtræfɪk laɪt/,2100,5,0.30,0.34,1,6
crosswalk,noun,横断歩道,/ˈkrɒswɔːk/,2600,3,0.18,0.32,1,6
sidewalk,noun,歩道,/ˈsaɪdwɔːk/,1850,6,0.34,0.24,0,6
bridge,noun,橋,/brɪdʒ/,1150,12,0.52,0.36,1,6
sign,noun,標識・看板,/saɪn/,1020,14,0.58,0.22,0,6
map,noun,地図,/mæp/,1080,13,0.56,0.20,0,6
directions,noun,道案内・行き方,/dəˈrekʃənz/,1600,8,0.42,0.38,1,6
straight,adverb,まっすぐに,/streɪt/,1300,9,0.46,0.40,1,6
cross,verb,渡る,/krɒs/,1450,10,0.44,0.30,0,6
past,preposition,〜を過ぎて,/pæst/,1700,7,0.36,0.22,0,6
along,preposition,〜に沿って,/əˈlɒŋ/,1550,8,0.40,0.24,0,6
near,preposition,〜の近くに,/nɪr/,980,15,0.60,0.26,0,6
far,adverb,遠くに,/fɑːr/,900,16,0.62,0.35,1,6
behind,preposition,〜の後ろに,/bɪˈhaɪnd/,1350,9,0.45,0.28,0,6
opposite,preposition,〜の向かいに,/ˈɒpəzɪt/,1950,6,0.32,0.24,0,6
next to,preposition,〜の隣に,/nekst tuː/,1500,7,0.42,0.22,0,6
across from,preposition,〜の向かい側に,/əˈkrɒs frʌm/,2200,5,0.26,0.30,0,6
in front of,preposition,〜の前に,/ɪn frʌnt ʌv/,1750,6,0.38,0.26,0,6
lost,adjective,道に迷った,/lɒst/,1200,10,0.50,0.28,0,6
bank,noun,銀行,/bæŋk/,1050,12,0.54,0.18,0,6
pharmacy,noun,薬局,/ˈfɑːrməsi/,2350,4,0.24,0.30,0,6
supermarket,noun,スーパーマーケット,/ˈsuːpərˌmɑːrkɪt/,1650,6,0.40,0.20,0,6
library,noun,図書館,/ˈlaɪbrəri/,1400,8,0.44,0.32,1,6
post office,noun,郵便局,/poʊst ˈɒfɪs/,1900,5,0.30,0.20,0,6
bakery,noun,パン屋,/ˈbeɪkəri/,2150,5,0.28,0.22,0,6
bookstore,noun,書店,/ˈbʊkstɔːr/,2050,5,0.29,0.24,0,6
convenience store,noun,コンビニ,/kənˈviːniəns stɔːr/,2500,3,0.20,0.32,1,6
keep going,phrasal verb,進み続ける,/kiːp ˈɡoʊɪŋ/,1850,6,0.34,0.20,0,6
turn around,phrasal verb,引き返す,/tɜːrn əˈraʊnd/,2050,5,0.28,0.24,0,6
get to,phrasal verb,〜に着く・たどり着く,/ɡet tuː/,1300,9,0.48,0.18,0,6
excuse me,expression,すみません,/ɪkˈskjuːz miː/,950,12,0.64,0.30,0,6
tourist,noun,観光客,/ˈtʊrɪst/,1800,7,0.36,0.28,0,6
local,adjective,地元の,/ˈloʊkəl/,1400,8,0.42,0.20,0,6
stranger,noun,見知らぬ人,/ˈstreɪndʒər/,2000,5,0.30,0.34,0,6
helpful,adjective,親切な・役に立つ,/ˈhelpfəl/,1750,7,0.38,0.22,0,6
minutes,noun,分（時間）,/ˈmɪnɪts/,1150,10,0.50,0.18,0,6
walking distance,noun,徒歩圏内,/ˈwɔːkɪŋ ˈdɪstəns/,2400,4,0.22,0.26,0,6
landmark,noun,目印・ランドマーク,/ˈlændmɑːrk/,2300,4,0.24,0.32,1,6
gas station,noun,ガソリンスタンド,/ɡæs ˈsteɪʃən/,1700,6,0.34,0.22,0,6
polite,adjective,丁寧な,/pəˈlaɪt/,1600,8,0.40,0.24,0,6
where,adverb,どこ,/wer/,620,17,0.75,0.22,0,6
within,preposition,〜以内に,/wɪˈðɪn/,1900,6,0.32,0.24,1,6
