word,pos,ja,ipa,ngsl_rank,nd,fl,l1_weighted_nd,hvpt,unit
experience,noun,経験,/ɪkˈspɪəriəns/,930,13,0.68,0.28,0,3
adventure,noun,冒険,/ədˈvɛntʃər/,1740,7,0.40,0.22,0,3
journey,noun,旅,/ˈdʒɜːrni/,1980,6,0.34,0.24,0,3
abroad,adverb,海外へ・海外で,/əˈbrɔːd/,1460,9,0.52,0.32,0,3
traveled,verb (past participle),旅行した（travel の過去分詞）,/ˈtrævəld/,1150,11,0.58,0.30,0,3
visited,verb (past participle),訪れた（visit の過去分詞）,/ˈvɪzɪtɪd/,1090,12,0.60,0.28,0,3
climbed,verb (past participle),登った（climb の過去分詞）,/klaɪmd/,1670,8,0.42,0.26,0,3
ridden,verb (past participle),乗ったことがある（ride の過去分詞）,/ˈrɪdən/,2080,5,0.30,0.34,1,3
tasted,verb (past participle),味わった（taste の過去分詞）,/ˈteɪstɪd/,1820,7,0.38,0.22,0,3
eaten,verb (past participle),食べた（eat の過去分詞）,/ˈiːtən/,970,14,0.66,0.24,0,3
seen,verb (past participle),見た（see の過去分詞）,/siːn/,760,17,0.78,0.20,0,3
done,verb (past participle),した（do の過去分詞）,/dʌn/,650,19,0.82,0.18,0,3
ever,adverb,今までに,/ˈɛvər/,700,18,0.80,0.26,0,3
recently,adverb,最近,/ˈriːsəntli/,1240,10,0.55,0.24,0,3
many times,expression,何度も,/ˈmɛni taɪmz/,1350,10,0.54,0.22,0,3
mountain,noun,山,/ˈmaʊntən/,1310,11,0.56,0.26,0,3
ocean,noun,海（大洋）,/ˈoʊʃən/,1590,9,0.46,0.24,0,3
island,noun,島,/ˈaɪlənd/,1430,10,0.50,0.24,0,3
waterfall,noun,滝,/ˈwɔːtərfɔːl/,2360,4,0.24,0.32,1,3
roller coaster,noun,ジェットコースター,/ˈroʊlər ˈkoʊstər/,2510,4,0.20,0.38,1,3
airport,noun,空港,/ˈɛərpɔːrt/,1180,12,0.60,0.30,0,3
passport,noun,パスポート,/ˈpæspɔːrt/,1860,7,0.37,0.28,0,3
souvenir,noun,お土産,/ˌsuːvəˈnɪər/,2480,4,0.21,0.26,0,3
culture,noun,文化,/ˈkʌltʃər/,1220,11,0.58,0.24,0,3
festival,noun,祭り,/ˈfɛstɪvəl/,1620,9,0.44,0.34,1,3
host family,expression,ホストファミリー,/hoʊst ˈfæməli/,2260,5,0.26,0.24,0,3
instrument,noun,楽器,/ˈɪnstrəmənt/,1710,8,0.41,0.24,0,3
marathon,noun,マラソン,/ˈmærəθɒn/,2130,6,0.30,0.36,1,3
prize,noun,賞,/praɪz/,1500,10,0.52,0.24,0,3
karaoke,noun,カラオケ,/ˌkæriˈoʊki/,2620,3,0.16,0.20,0,3
singer,noun,歌手,/ˈsɪŋər/,1380,11,0.56,0.24,0,3
curry,noun,カレー,/ˈkʌri/,2290,5,0.25,0.22,0,3
soup,noun,スープ,/suːp/,1560,9,0.47,0.20,0,3
amazing,adjective,すごい・驚くほどよい,/əˈmeɪzɪŋ/,1030,13,0.63,0.24,0,3
exciting,adjective,わくわくする,/ɪkˈsaɪtɪŋ/,1140,12,0.59,0.22,0,3
scary,adjective,怖い,/ˈskɛəri/,1790,8,0.39,0.26,0,3
spicy,adjective,辛い,/ˈspaɪsi/,1950,6,0.33,0.24,0,3
famous,adjective,有名な,/ˈfeɪməs/,900,15,0.70,0.34,1,3
surprised,adjective,驚いた,/sərˈpraɪzd/,1060,13,0.62,0.34,1,3
tiring,adjective,疲れる,/ˈtaɪərɪŋ/,2010,6,0.31,0.24,0,3
view,noun,景色,/vjuː/,1270,11,0.57,0.36,1,3
no way,expression,まさか・うそでしょ,/noʊ weɪ/,2170,5,0.27,0.20,0,3
for real,expression,本当に・マジで,/fɔːr ˈriːəl/,2340,4,0.23,0.32,1,3
wow,expression,すごい（驚きの声）,/waʊ/,1900,7,0.36,0.18,0,3
skydiving,noun,スカイダイビング,/ˈskaɪdaɪvɪŋ/,2700,3,0.15,0.22,0,3
